qid,label
Q2017731,Chipilo Venetian dialect
Q201966,Ulster Scots
Q2025325,Romanians in Ukraine
Q202575,Fulbe people
Q202812,Beta Israel
Q203178,Kikuyu
Q2033181,White Latin Americans
Q2034200,Skokomish tribe
Q2034266,Squamish
Q2036691,Sara
Q20394601,Emirati Arabic
Q2039972,Monegasques
Q204333,Arab citizens of Israel
Q20438450,Serbs in Switzerland
Q2044560,Sylheti
Q2044587,San Andrés–Providencia Creole
Q2044917,Old Norman
Q2046097,Paez people
Q205006,Amis
Q2050339,Afro Caribbeans
Q20504733,broken English
Q205143,Australian Aboriginal languages
Q2053,HTML5
Q20581520,Luri
Q205979,Sogdian
Q2060531,Otaibah
Q2065086,Cushitic peoples
Q206642,Burgher people
Q207050,Buryats
Q2071535,Circassians in Israel
Q20736,Inuit–Yupik
Q20747504,Panamanians
Q2077307,Yamagata dialect
Q207996,Xhosa people
Q20817366,Albanians in Italy
Q208176,Morisco
Q20823624,languages of Kosovo
Q2085051,Tswa
Q208551,Laz people
Q2087633,Mpongwe people
Q2090757,Antwerpian
Q2091237,Moldavian diaspora
Q209148,Akimel O'odham
Q2092341,Izhma Komi
Q20923490,multiple languages
Q2093214,Finnish Kalo
Q209496,Alawites
Q20987630,Kurds in Iran
Q209959,Miao
Q21,England
Q210332,Haida people
Q210334,Cayuga people
Q2104642,Pa'O people
Q21057,Gwich’in
Q210623,Taíno people
Q21075296,Saxwe
Q21075551,Aromanians in Serbia
Q2107617,Flemish Sign Language
Q211018,Kumyks
Q21117,Central Alaskan Yup'ik
Q211248,Mayan hieroglyphs
Q2116909,Indo people
Q21200,Germanic languages
Q212106,Dinka people
Q2121371,Qalipu First Nation
Q2128953,Lower Yangtze Mandarin
Q213396,Wyandot people
Q213422,Seneca
Q2140968,Sardinians
Q2142357,Hawrami dialect
Q2143064,Kumeyaay people
Q2143071,Syrian Arabic
Q214361,Mari people
Q21483302,Amami Ōshima
Q215,Slovenia
Q21510972,Forslund
Q215264,East Flemish
Q21550769,medieval Italian
Q2159476,Lemko
Q216151,Vietnamese people
Q2164778,Naro
Q21661337,Qatari Arabic
Q217464,Daur people
Q217815,Nakhi people
Q219205,Hmong people
Q219995,Guanches
Q21999799,British Nigerian
Q22,Scotland
Q22083533,Isleta Puebloan
Q22088859,Pitcairn Islanders
Q2208940,Taishanese
Q22091539,Romani people in Australia
Q22098641,莒照小片
Q22101529,Taiwanese Classical Chinese
Q22132744,Gun people
Q2215114,Djerma
Q221585,Hungarian Brazilians
Q221839,Fatima
Q2219658,San Ildefonso Pueblo
Q222175,Cornish people
Q22282914,undetermined language
Q223179,Faroese
Q2251677,Quanzhou dialect
Q2253479,Black Africans
Q2254415,Italian Canadians
Q225469,Puyallup people
Q2257191,Italian Australians
Q22633,Germanic people
Q22639430,Afikpo
Q2265699,Romaniote Jews
Q22694891,Vlax Romani
Q227,Azerbaijan
Q22711,Pennsylvania German
Q2272094,Serbs in Austria
Q2278732,Sichuanese
Q22890,Ireland
Q22988248,Antillianen
Q2299931,Wayana people
Q2301077,Spanish language in the United States
Q23014,Palatinate German
Q2303719,Chinese Australians
Q2309630,Betsimisaraka people
Q2309935,Iranian Jews
Q231317,Zuni people
Q231452,Algonquin
Q2325516,Armenian Americans
Q2329815,Wiyot people
Q2330715,Mediterranean race
Q23444,white
Q23445,black
Q234963,Catalan countries
Q2350149,Banjar
Q2351472,Rauma dialect
Q235155,white people
Q23526,Slavic
Q2354653,Tamil Malaysians
Q2356431,Chibcha
Q2356912,Azerbaijanis in Ukraine
Q2361829,Konjo
Q236425,Papuan
Q2365041,Argentines
Q2372207,Ngambay
Q2374245,Valdôtain
Q237534,Austrians
Q2376604,Assyrians in Iraq
Q23828656,Tamazirt
Q2384959,Americans
Q23865399,Pidgin-English
Q2387354,Ukrainian Australians
Q2391532,Taiwanese Hakka
Q2392342,Gurung
Q2392686,Ho people
Q2393095,O'odham
Q239577,Ibibio people
Q24014808,Greeks in Crimea
Q2408653,Thai Chinese
Q2411063,Pero
Q241243,Provençal
Q241285,Shinnecock Nation
Q241696,Somalis
Q24189583,Yugambeh people
Q24189643,Irish New Zealanders
Q2422065,Chokwe
Q242485,Flemish people
Q24251468,Chumash people
Q2426319,Bagri
Q242648,Emilian–Romagnol
Q2426677,Iranian Azerbaijanis
Q2427065,Northern Thai people
Q2427512,Servitka Roma
Q2433338,Tiliku
Q2436423,Macedonians
Q244028,Kabarday
Q244157,Igbo people
Q244504,Catalans
Q2445129,Kubachi
Q2447438,Menominee
Q245507,Québécois
Q245794,Greek Cypriots
Q245807,Turkish Cypriots
Q245899,Cypriot Greek
Q2459298,Tugen people
Q2459831,Tunisians
Q2464565,Turkish Americans
Q2466704,Castrapo
Q2467559,Jarai people
Q24697413,Dagbon
Q24698175,Mamprugo Moaduri District
Q24750566,Kupang
Q2477983,Itsekiri people
Q2478711,Naxi
Q24841726,Putonghua
Q2486742,Kali'na people
Q248682,Zurich German
Q2487243,Siberian Yupik people
Q2490038,Savoyard
Q24906504,Kelantanese Malay people
Q2493912,Hebrew
Q24948368,Dakhini Muslims
Q249893,Qashqai people
Q2500871,Belarusian minority in Poland
Q25032372,Category:Dominican Republic people of African American descent
Q25039504,Spanish Filipino
Q25045392,Burmese in Thailand
Q2505231,Ukrainian Americans
Q25053578,Al-Masriyah
Q2509263,Kryashens
Q2509307,Aragonese Spanish
Q2509562,Turks of Romania
Q25105912,Ghanaian English
Q2511254,Yolŋu
Q2511476,Tày
Q2511850,Homshetsi
Q2513044,Burmese Hàn
Q25164,Nynorsk
Q25167,Bokmål
Q2518090,Peoria Tribe
Q2518802,Mnong people
Q2519308,Sarnámi Hindustáni
Q2519741,Lu people
Q2520137,Bora people
Q2520166,Macushi people
Q2520180,Tucano people
Q2520717,Ronga
Q2520785,Maxakali
Q2522479,Wapishana people
Q2522648,Surinamese people
Q2524014,Bajan Creole
Q25258,Faroese
Q2526737,Kapampangan people
Q25268,Afroasiatic
Q2527423,Ilocano
Q25285,Tatar
Q25289,Cornish
Q25293,Celtic languages
Q25295,language family
Q2530387,Taglish
Q25325,Frisian
Q2533493,Maidu
Q253410,Chuvash people
Q253436,Shawnee
Q25355,Greenlandic
Q2537324,Yawalapiti
Q25385188,Butchulla
Q253854,Classical Latin
Q25433,Low German
Q25442,Sorbian
Q25448,Berber
Q254607,Vogtländisch dialect
Q25473909,Iraqi Turkmen
Q25483486,Jewish people in Bulgaria
Q254950,Övdalian
Q25559314,Classical Mandaic
Q2556103,Pashtuns
Q255872,Ojibwe
Q25589681,Жетиген
Q256,Turkish
Q25618646,Rutoro
Q2562249,Khufi
Q2563726,Mam people
Q25659361,Te Hikutū
Q25659366,Te Uri Taniwha
Q25659458,Ngāti Pāhauwera
Q25659521,Ngāti Oneone
Q25659650,Ngāti Apakura
Q25659980,Ngāti Ngahere
Q2566194,Achuar people
Q2566598,religious
Q25682470,Soomaalilander
Q25714751,Minahasa
Q2574767,Kamba
Q258,South Africa
Q2580491,British Pakistanis
Q2584186,Iranian Armenians
Q2587830,Pardo Brazilians
Q2588045,Chinese Cambodians
Q2589229,Dutch Canadians
Q2590074,Armenians in Turkey
Q2590690,Sisseton Wahpeton Oyate
Q2591165,Pacahuara
Q2591175,Pintupi
Q2591193,Laragiya
Q2591243,Cholón
Q2591262,Kalau Lagau Ya
Q2592663,Guajajara
Q2593852,Turks in North Macedonia
Q25946,Inuit–Yupik–Unangan
Q259469,British Bangladeshi
Q2596080,Mising people
Q2597550,Jiao-Liao Mandarin
Q2597566,Rushani
Q2598589,Armenians in Russia
Q2600085,Osage
Q2600374,Thái people
Q2600390,Yi
Q2602505,Chinese New Zealanders
Q2604583,Wakhi people
Q2605053,Italian Jews
Q2605658,Magars
Q2605943,Mewati
Q2606511,Lebanese people
Q2608120,Thakur
Q26085464,Tongans
Q260942,Transylvanian Saxon
Q2615416,Portuguese Brazilians
Q2617404,AaBe
Q2618974,Nǁng
Q26236162,Okun
Q26240560,Mbaham-Matta
Q26245,Rusyn
Q262457,Métis
Q26261954,Languages of Yugoslavia
Q262828,Standard Taiwanese Mandarin
Q2631779,Serbs of Kosovo
Q2631909,Castilian Spanish
Q2640686,Angkola
Q2643509,Indian Americans
Q2655664,Arawak
Q2656122,Dom people
Q2657644,Afro-Chilean
Q2657969,Vietnamese Americans
Q2658204,British Chinese
Q265962,Krahn people
Q266263,Carinthian dialect
Q2663832,Nicaraguans
Q2664002,Jukun people
Q2665246,Torwali
Q2665734,Kaingang
Q26678452,Upper Harz Dialect
Q2668371,Brussels Dutch
Q2669199,Vlax Romani
Q2669229,Bahamian Creole
Q2669261,Austral
Q2671703,Armenians in Lebanon
Q2672789,Poitevin
Q267410,Pipil people
Q26746,Basic English
Q26764649,East Asians
Q26774,Shoshone
Q2681098,Nanjing dialect
Q26862,Hän people
Q2686890,Arab Mexican
Q26912310,Biblical Greek
Q2691385,Panamanian Spanish
Q26959141,Larbi
Q2696805,Dutch Australian
Q2701322,Osing
Q2704556,Atlantean
Q2708837,Matsés people
Q27106,Kalinago
Q2712961,Afro-Asians
Q27175,West Frisian
Q271790,Karen people
Q27183,Iñupiaq
Q2721227,Ona
Q2722871,British Asians
Q2727930,Tangut
Q2735880,Benasquese
Q2736556,Béarnese
Q2739548,Triestine
Q2741799,New York dialect
Q274356,Dargins
Q2743643,Ibibio
Q2744745,Guambiano
Q2745405,Alutiiq people
Q2746856,Souletin
Q27475,Athabaskan
Q27480,Eyak
Q275453,Bai people
Q27567,Abaza
Q276315,Karakalpaks
Q27683,Acehnese
Q276879,Korean Americans
Q2770,Tula
Q27758,Southern Athabaskan
Q277647,Luhya
Q27776,Adyghe
Q2779185,Old Occitan
Q27792,Tlingit
Q27796,Inuit
Q27808413,Tavringer Romani
Q27808515,Shipibo
Q27811,Afar
Q278944,Diaguitas
Q279117,Ticinese
Q2793139,Rukai
Q279350,Standard High German
Q279595,German Namibians
Q27968,English studies
Q27969,Ainu
Q27970,Yupik
Q279764,Carinthian Slovenes
Q28026,Akan
Q28058,Hupa
Q28064,Tagish
Q28092,Algonquin
Q28135416,Italian New Zealanders
Q281654,Boyash
Q28172443,British Punjabis
Q28176,Altai
Q28180816,Ngāti Korokī Kahukura
Q28180820,Ngāti Rehua
Q28180907,Te Tai Tokerau Māori
Q28185,Fering
Q28195536,Romanian Jews
Q28222011,Moroccan Belgians
Q28224,North Frisian
Q28224387,Kaiadilt people
Q28224574,Ngan'gimerri
Q2823170,Achuar
Q28244,Amharies
Q2826232,Portuguese Angola
Q2826241,Afro-Bolivians
Q2826286,Afro Ecuadorian
Q2828867,Ajië
Q2830787,Albanians in Serbia
Q2839602,Guambiano
Q28400,Bribri
Q28404066,Capiznon people
Q28406138,Woppaburra
Q28433,Ao
Q2849611,Cajun English
Q2849614,English language in Europe
Q2849617,Malaysian English
Q2849692,Anglo-Irish people
Q285828,Gibraltarian people
Q2859328,Bougiote Arabic
Q2859361,Iranian Arabs
Q2859372,Maghāribah
Q28602,Aramaic
Q2863017,Armenians in Canada
Q28648218,Southern Chinese
Q28666088,Romani people in Russia
Q28739968,Cuban
Q2879660,Culle
Q2886395,Basque Americans
Q288809,Efik people
Q28900199,Arabia
Q2891032,Toba Batak
Q2891045,Dairi Batak
Q2891054,Simalungun Batak
Q2893828,Ethiopian Jews in Israel
Q2894388,Belgian Americans
Q2895807,Benga people
Q29,Spain
Q2900057,Betawi people
Q290201,Toraja
Q29026959,British migration to Portugal
Q29035305,Ukrainians in Finland
Q2906632,Leshon Hakodesh
Q2911863,Israeli Sign Language
Q2913825,Nias
Q2917569,history of the Jews in New Zealand
Q2917968,Omaha–Ponca
Q2918061,Ethiopian
Q2919292,Hebronics
Q2919319,Ribagorzan Aragonese
Q2927799,Bukar Sadong
Q2931445,Venice city dialect
Q29316,Aromanian
Q2933374,Tiwi people
Q29347,Arvanitic
Q2935814,European Canadians
Q2935829,English Canadians
Q29363924,Escalante
Q2937525,Capisnon
Q294,Icelandic
Q29401,Assamese
Q29440,Assyrian Neo-Aramaic
Q2944443,Central Sierra Miwok
Q29467489,Zimbabwean New Zealanders
Q2947215,Chti
Q29474,Teso
Q294867,Arain
Q29507,Asturian
Q29525,Auslan
Q29540,Bavarian
Q29561,Avar
Q29572,Avestan
Q29579,Awadhi
Q2964008,Chibarwe
Q2964255,Chochenyo people
Q2964471,Chopi people
Q29705197,Warmian people
Q2972784,Armenian Argentine
Q2981620,Matsés
Q2982063,Pitjantjatjara
Q2983090,Kobaïan
Q298874,Austrian Silesia
Q2989348,Haitian Canadians
Q29919,Egyptian Arabic
Q29921,Inuktitut
Q2992857,Mewari
Q2993629,Urhobo people
Q2994901,Angolan Portuguese
Q29952,Erzya
Q2995285,White Brazilians
Q29960,Even
Q2996826,Venezuelans
Q2997267,Colombians
Q29977,Gaulish
Q2997993,Bessarabian Bulgarians
Q30,United States
Q30004,Evenki
Q30005,Ewe
Q30007,Extremaduran
Q3003133,Croatian Americans
Q300402,Fala
Q3006280,Guadeloupean Creole
Q3006281,Martinican Creole
Q30125,Tahltan
Q3015339,Danish Americans
Q3025624,Kebdana
Q30258193,Mescalero Apache Tribe
Q3026375,Greeks in France
Q3026382,Italian French
Q3026394,Serbian Canadians
Q30319,Silesian
Q3033547,Kakwa
Q3036435,Afro-Latin Americans
Q304049,Hunsrik
Q3041543,Rungus people
Q3042206,Mwani
Q30557664,Patua
Q3058369,Spanish language in the Americas
Q3059102,Gin people
Q3066236,Potiguara people
Q306626,Austrian German
Q30669868,Esco
Q30671991,Igarra
Q3070173,South Vanuatu
Q3070998,Romani people in North Macedonia
Q3072663,Finnish Americans
Q3075017,Black people in France
Q3077126,Fore
Q3082329,Franco-Mauritian
Q3082333,Franco-Albertan
Q3083194,French language in Ivory Coast
Q3083196,French of France
Q3083213,Louisiana French
Q3083226,Montreal French
Q3083227,French language in the Maghreb
Q3085289,wooden language
Q3087618,Fribourgeois
Q3088284,Afro-Argentines
Q30898,Gilbertese
Q3090608,Arab Brazilians
Q309197,Bretons
Q309381,Hlai people
Q3094841,Welsh Americans
Q3095513,Estación de Euskalduna
Q3100814,Spanish Sign Language
Q3101212,Mẽbêngôkre
Q310983,Malagasy people
Q3110592,written Chinese language
Q3111623,Gouin people
Q3111668,Gun
Q3111847,Miriwoong
Q3113756,Toba Qom
Q31150449,Akuapem
Q31174256,Bantenese
Q311762,Russians in Ukraine
Q311883,Maranao people
Q31190174,Turks in England
Q3120476,Ulster Scots
Q3120790,Gumbaynggirr
Q3120791,Dhuwal
Q3120839,Gandangara people
Q31230,Chechens
Q312574,Volga Germans
Q3125826,Hakata dialect
Q31274895,Estonians in New Zealand
Q313323,Volksdeutsche
Q3135234,Hidatsa
Q3135432,Yine
Q3136373,Hiroshima dialect
Q3138755,U'wa people
Q3139212,Hokkaido dialects
Q3149102,Italian migration to Brazil
Q3154488,Irish Australians
Q3154489,Irish Quebecers
Q3154490,Irish Canadians
Q3155516,Isoko people
Q3155865,Italie
Q3162806,Djaru
Q316390,Antigua
Q317044,Andalusi Romance
Q31746,Lezgian
Q3177352,Rodi
Q3181238,U'wa
Q318674,Oromo people
Q318806,Abenaki people
Q3193689,Kashaya
Q3196953,Nande
Q3197533,Kiswahili
Q3198191,Kociewiacy
Q31989,English-based creole languages
Q3199886,Krobo
Q32063,Middle Persian
Q320693,Lak people
Q321083,Coptic script
Q321090,German Brazilians
Q32145,Ripuarian
Q321535,Abitibiwinni First Nation
Q3217470,Lampungese
Q322083,Bamun people
Q32238,Dagbanli
Q322951,Cheyennes
Q32332,Dargwa
Q32360797,Russian Jews
Q3237695,Lebanese Canadians
Q32389,Zoroastrian Dari
Q3239800,indigenous
Q3241177,Rohingya
Q3241731,Gujari
Q324216,Austrian Americans
Q3242924,Palestinian Christians
Q3244184,Antiguan and Barbudan Creole
Q3244280,Black Britons
Q324516,Choctaw
Q3247924,Dominicans
Q3250286,Hakha–Chin
Q3261029,Nkole people
Q32641,Valencian
Q3264431,Black Loyalists
Q32656,Maldivian
Q3267254,Afro-Uruguayan
Q3267812,Portuguese Americans
Q3268147,Gora dialect
Q3268656,Egba people
Q32704,Venda
Q32706,Dioula
Q3270727,Kiga
Q32724,Venetian
Q327252,Erzgebirgisch
Q3272620,Nyakyusa
Q3272737,Lugbarati
Q327274,Swabian
Q32730,Dogri
Q3274441,Japanese Peruvians
Q32747,Veps
Q32762,Võro
Q3285432,Shandong dialect
Q32858,Votic
Q3287203,Cook Islands Maori people
Q32878,Dolgan
Q329030,Bergish dialects
Q32924,Bahnar
Q32934,Bissa
Q32952,Chakma
Q32956,Bété
Q3296011,Marúbo
Q32972,Comanche
Q32979,Choctaw
Q3298041,Ngan’gityemerri
Q32986,Bororo
Q3299468,Greek Brazilians
Q33000,British Sign Language
Q3300127,Lebanese Brazilians
Q33012,Karo Batak
Q330129,Franconian
Q33013,Duala
Q33014,Betawi
Q33016,Chaga
Q33017,Toba Batak
Q3303849,Syrian Americans
Q33044,Cocopah
Q33049,Balochi
Q33050,Dungan
Q33052,Bemba
Q3305477,Guyanese Creole
Q33060,Blackfoot
Q33070,Balinese
Q33077,Comorian
Q33081,Dzongkha
Q3308238,Barbadian British
Q3308526,General American English
Q3308808,Chiripá
Q33093,Basaa
Q3310017,Pakistanis
Q33111,Corsican
Q33120,Buryat
Q33123248,Blackfeet Nation
Q3312722,English language in England
Q3314452,indigenous peoples of Mexico
Q33146,Bantu
Q33151,Banjar
Q33158,Chhattisgarhi
Q33161,Chuukese
Q33170,Chukchi
Q33173,Chittagonian
Q331789,Crow Nation
Q33185,Bunjevac dialect
Q33190,Bugis
Q33202,Brahui
Q33219,Banyumasan
Q3322073,Argentine Sign Language
Q3322093,South African Sign Language
Q33223,Bodo
Q33225,Finnish Sign Language
Q33236,Chaldean Neo-Aramaic
Q33239,Cebuano
Q33243,Bambara
Q33251,Church Slavonic
Q33256,Bartangi
Q33260,French-based creole languages
Q33262,Chamorro
Q33265,Cheyenne
Q33268,Bhojpuri
Q33270,Ho
Q33273,Chewa
Q3327332,Arhuaco people
Q3327389,Alyawarr
Q33274,Shawiya
Q3327828,Mundari
Q33281,Chavacano
Q33282,German Sign Language
Q33284,Central Bikol
Q33287,Ga
Q33289,creole
Q33291,Fon
Q33295,Fijian
Q332976,Miskito people
Q33298,Filipino
Q33302,French Sign Language
Q33303,Haida
Q333049,Lakota people
Q3331271,Western Asturian
Q33315,Herero
Q3331917,Myene people
Q33339,Guinea-Bissau Creole
Q33348,Chuvash
Q3334987,Guatemalan Spanish
Q33350,Chechen
Q33357,Crimean Tatar
Q33363,Irula
Q33368,Luganda
Q3336808,Chickasaw Nation
Q33375,Hakka Chinese
Q33388,Cherokee
Q33390,Cree
Q33392,Algonquian
Q3339258,Ngadjuri people
Q33395,Gullah
Q33398,Hazaragi
Q33410,Haryanvi
Q33413,Malvi
Q33416,Kalasha
Q33417,Isan
Q33424,Iban
Q33441,Friulian
Q3344226,Northern Sierra Miwok
Q33450,Gen
Q33454,Fula
Q33457,Gagauz
Q33459,Garhwali
Q3345976,Ntomba people
Q33462,Inari Sami
Q33464,Kosraean
Q3346589,Nyanja people
Q33467,Mam
Q33475,Gan Chinese
Q33484,Fang
Q3349057,Pacific Islander Americans
Q33491,Haitian Creole
Q33500,Mandaic
Q33509,Ingush
Q33522,Kabardian
Q33527,Iranian
Q33531,Kodava
Q33535,Kru
Q33537,Lakota
Q33538,Syriac
Q33541,Karakalpak
Q33543,Mordvins
Q33549,Javanese
Q33552,Kashmiri
Q3355404,Argentine Brazilians
Q33557,Karelian
Q33559,Ingrian
Q33563,Khanty
Q33569,Hawaiian
Q33573,Kinyarwanda
Q33575,Khakas
Q33577,Indo-Aryan
Q33578,Igbo
Q33583,Kirundi
Q33584,Khasi
Q33587,Gikuyu
Q33597,Luvale
Q33599,Manyika
Q33601,Kaonde
Q33603,Gusii
Q33606,Ifè
Q33607,Lunda
Q33608,Jalaa
Q33614,Khoisan
Q33617,Hiri Motu
Q3361977,Khariboli
Q3362072,Digo
Q33623,Iroquoian languages
Q33624,Itelmen
Q33626,Harari
Q33628,Lozi
Q33630,Kusunda
Q33634,Kalmyk
Q33638,Manchu
Q33643,Makassar
Q33655,Nigerian Pidgin
Q3365567,Sarthois
Q33656,Kildin Sami
Q33657,Gilaki
Q33661,Mauritian Creole
Q33670660,African French
Q33672,Kalanga
Q33673,Kannada
Q33675,Nuer
Q33677,Páez
Q33678,Mandinka
Q33681,Mande
Q33690,Kashubian
Q33698,Livonian
Q33702,Kongo
Q33714,Karachay-Balkar
Q33715,Korku
Q33717,Maguindanao
Q33720,Karay-a
Q33725,Karaim
Q33728,Magahi
Q33730,Mapudungun
Q33738,Mayan
Q33739,Pothohari
Q337487,Rajput
Q33750,Mongolic
Q33754,Lombard
Q337565,Chakavian
Q3375652,Iranians in Iraq
Q33759,Mansi
Q337657,Mon-Khmer
Q33776,Palauan
Q33784,Soga
Q33792,Ibibio
Q33795,Senufo
Q33800,Maranao
Q33810,Odia
Q33813,Miao
Q33823,Nepali
Q33825,Pirahã
Q33831,pidgin
Q33838,Niger–Congo
Q33845,Neapolitan
Q33850,Norman
Q33856,Papiamento
Q33864,Oromo
Q33868,Meitei
Q33871,Nogai
Q33875,Ojibwe
Q33879,Pangasinan
Q33882,Makhuwa
Q33890,Northern Sotho
Q33900,Ndonga
Q33902,Saraiki
Q33930,Tehuelche
Q33938,Hausa people
Q3394291,Grecomans
Q33947,Northern Sami
Q33954,Sango
Q3395438,Polish Canadians
Q33965,Santali
Q33968,Ossetian
Q33973,Sicilian
Q3397587,ethnic Macedonians in Bulgaria
Q33976,Sardinian
Q33979,Newar
Q33989,Sranan Tongo
Q33990,Susu
Q33997,Sindhi
Q3399982,Kingdom of Spain
Q34,Sweden
Q34002,Sundanese
Q34004,Shona
Q34005,Samoyedic
Q3400713,Ser-Drama-Lagadin-Nevrokop dialect
Q34008,Selkup
Q34011,Samoan
Q34014,Swazi
Q34015,Seychellois Creole
Q34017,Seto
Q34024,Picard
Q34035,Tharu
Q34049,Semitic
Q340520,Aceh
Q34053,Shughni
Q34055,Tuvaluan
Q34057,Tagalog
Q340581,Acholi people
Q34065,Tuareg
Q34067,Svan
Q34069,Ashkenazi Jews
Q34075,Maore
Q34079,Tabasaran
Q34090,Turkic
Q3409224,Aromanians in North Macedonia
Q34094,Tongan
Q34097,Tokelauan
Q34101,Tonga
Q34108,Leonese
Q34114,Komi-Zyryan
Q34119,Tuvan
Q34124,Tigrinya
Q34125,Tetum
Q34128,Tahitian
Q34129,Tigre
Q34131,Tiv
Q34137,Tswana
Q34138,Tumbuka
Q34139,Shor
Q34142,Tausug
Q34147,Flemish Dutch
Q34152,Tashelhit
Q34159,Tok Pisin
Q34164,Yukaghir
Q34173,Luba-Kasai
Q34174,Tarifit
Q34186,Yazgulyam
Q34188,Yanomamis
Q34191,Yaqui
Q34198,Washo
Q34202,Yavapai
Q34203,Yaeyama
Q3420587,Bosniaks in North Macedonia
Q34208,Wakhi
Q34219,Walloon
Q34228,sign language
Q34233,Okinawan
Q34239,Konkani
Q34243,Yonaguni
Q34251,Tulu
Q34257,Wolof
Q34271,Tibetan
Q34279,Waray
Q3428765,Meo Rajput
Q34290,Wu Chinese
Q3429088,Rade
Q34299,Yakut
Q34311,Yoruba
Q34318,Talysh
Q34327,Tsonga
Q34340,Sesotho
Q34344,Yurok people
Q3436680,Bole
Q3436689,Brazilian Sign Language
Q3437230,Asháninka
Q3437616,Chopi
Q3438705,Ngamo
Q3438770,Karai-karai
Q3443139,rouergat
Q3443338,Ga–Dangme
Q3444016,Jordanian Arabic
Q3446643,Awak
Q3449805,South Azerbaijani
Q3450493,Wapishana
Q3450709,Yawalapiti
Q3450749,Rakhine
Q3450837,Malayan
Q34729,Ahanta
Q3474642,Sawa people
Q3476361,Scottish Americans
Q3476364,Scottish Australians
Q34770,language
Q34776,Adamaua-Fulfulde
Q3478238,Sumi
Q34794,Atsam
Q34831,Bono
Q34855,Bakaka
Q34862,Bangolan
Q3488894,Soga
Q34889,Bariba
Q34909,Old Icelandic
Q3491964,Sorkhei
Q34926,Acholi
Q3494730,Czech Brazilians
Q3498126,Czech Canadians
Q34992,Annobonese Creole
Q35013,Berom
Q3501932,Armenians in Cyprus
Q35022,Antillean Creole
Q3502234,Northern Khmer
Q35025,Old South Arabian
Q35028,Bulu
Q3503454,Nagamese Creole
Q35035,Adja
Q35037,Ndyuka
Q3504097,Moskitian Creole
Q3504147,Banda
Q35042,Bari
Q3504312,Paresí
Q35074,Cerma
Q3508898,Marubo people
Q3509835,Tabajara people
Q35100,Bouyei
Q3510313,Ijesha
Q35104,Ancash Quechua
Q35107,Baoulé
Q35110,Bube
Q35115,Kaqchikel
Q3511919,Koho
Q35123,Bussa
Q35132,Amis
Q35133,Old Frisian
Q3513610,Te Roroa
Q3513637,Iranian Persian
Q3513756,Haisla people
Q35141,Dangme
Q3514225,Croats in Argentina
Q35145,Ayacucho Quechua
Q35147,Cusco Quechua
Q3514796,Tojolabal people
Q35159,Dagaare
Q35164,Dendi
Q35170,Caddo
Q35172,Makonde
Q35176,Jola
Q35183,Deg
Q35217,Ardhamagadhi Prakrit
Q35218,Old High German
Q3521998,Chitpavan
Q35222,Old French
Q3522382,Vellalar
Q35224,Ido
Q35225,Old Persian
Q35228,Old East Slavic
Q35242,Deylami
Q35250,Ekajuk
Q35251,Guro
Q35254,Ekpeye
Q35257,Grebo
Q35267,Gonja
Q35268,Esan
Q35271,Ghomala'
Q35278,Khinalug
Q35285,Sikkimese Bhutia
Q35288,Pichinglis
Q35308,Old Irish
Q35317,Eton
Q35323,Arabs
Q35331,Farefare
Q35334,Futunan
Q35357,Burgenland Croatian
Q3535903,Tamil Canadians
Q35363,Ebira
Q35375,Edo
Q35377,Efik
Q35397,Budukh
Q35399,Ikwerre
Q35401,Jju
Q35403,Hyam
Q35406,Ika
Q35414,Isoko
Q3541834,Tucano
Q35420,Igede
Q3543292,Malaysian Malays
Q35447,Jukun Takum
Q35452,Bislama
Q35455,Bikol
Q35459,Ewondo
Q35474,Gourmanchéma
Q35475,Kabiye
Q3547774,Bisiac
Q35478,Idoma
Q35490,Garifuna
Q35497,Ancient Greek
Q35499,Old Church Slavonic
Q35501,Old Prussian
Q35505,Old Norse
Q35513,Igala
Q35518,Akkadian
Q35524,Yalunka
Q35533,Kaingang
Q3553469,Valaisan
Q35536,Q’eqchi’
Q35541,Cameroon Pidgin
Q35552,Kasem
Q35565,Tatars
Q35570,Fante
Q35571,Fuzhou dialect
Q35573,Teenek
Q35577,Huave
Q3558409,Vili
Q35601,Japanese Sign Language
Q35602,Hawaiian Pidgin
Q35613,Northern Ndebele
Q3562711,Karamanli Turkish
Q35639,Larteh
Q3565284,Wala
Q35660,Pannonian Rusyn
Q3566326,Tenino people
Q35664,Kambaata
Q35667,Ge'ez
Q35668,Hittite
Q35670,Lango
Q35671,Kriol
Q3567287,Cebuano people
Q35673,Kpelle
Q35674,Konkomba
Q35675,Kono
Q35696,Kissi
Q35697,Kalabari
Q35708,Kusaal
Q3571097,Xârâcùù
Q3571369,Valenciano alicantino
Q35722,Gothic
Q35726,Etruscan
Q3573453,Asturian people
Q35735,Gascon
Q3573554,Occitans
Q35737,Judaeo-Georgian
Q3573993,Hecho Aragonese
Q35744,Krio
Q35746,Kituba
Q35754,International Sign
Q35757,Láadan
Q35768,Catalan Sign Language
Q35772,Manding
Q35787,Maasai
Q35789,Mankanya
Q35793,Lumbu
Q35797,Longuda
Q35804,Mampruli
Q35824,Lomwe
Q35828,Chinantecan
Q35832,Myene
Q35850,Interlingue
Q35853,Kabyle
Q35876,Guarani
Q35878,Keresan
Q35885,Loma
Q35891,Kimbundu
Q35893,Luhya
